ocel:eid,ocel:timestamp,ocel:activity,ocel:type:case:concept:name,ocel:type:org:resource,ocel:type:case:repo
1065,2021-02-02 06:53:01+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/203/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1066,2021-02-02 06:53:01+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/203/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1057,2021-02-02 06:54:24+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1058,2021-02-02 06:54:24+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/201/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
982,2021-02-02 21:20:15+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/189/timeline'],['Erinaceida'],['pm4py/pm4py-core']
1070,2021-02-03 17:22:30+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/205/timeline'],['denzoned'],['pm4py/pm4py-core']
983,2021-02-04 05:49:50+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/189/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1071,2021-02-04 05:50:29+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/205/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1072,2021-02-04 07:40:30+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/205/timeline'],['denzoned'],['pm4py/pm4py-core']
1075,2021-02-04 10:42:24+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/206/timeline'],['PMarincola'],['pm4py/pm4py-core']
1076,2021-02-04 11:04:22+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/206/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1077,2021-02-04 11:04:22+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/206/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1078,2021-02-04 19:01:10+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/207/timeline'],['joseberlines'],['pm4py/pm4py-core']
984,2021-02-05 11:26:10+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/189/timeline'],['Erinaceida'],['pm4py/pm4py-core']
1079,2021-02-05 11:29:32+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/207/timeline'],['Erinaceida'],['pm4py/pm4py-core']
1080,2021-02-05 13:37:02+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/207/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
1081,2021-02-05 13:41:46+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/207/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
1083,2021-02-06 19:31:18+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/208/timeline'],['Brinkhuis'],['pm4py/pm4py-core']
1086,2021-02-08 10:56:20+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/209/timeline'],['Brinkhuis'],['pm4py/pm4py-core']
1087,2021-02-08 11:22:53+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/209/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1088,2021-02-08 11:22:53+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/209/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
